Location,Region,SubRegion,Region2,Country
Allnex,,,,
ALPHARETTA,AMERICAS,NorthAmerica,AMERICAS,USA
Americas,,,,
ANZ,,,,
Asia,,,,
Australia,,,,
Austria,,,,
BANGKOK,ROA,SEAO,APAC,Thailand
Belgium,,,,
Belgorod,EMEA,INSC,APAC,Russia
Bergen-op-Zoom,EMEA,EMEA,EMEA,Netherlands
Bien Hoa,ROA,SEAO,APAC,Vietnam
Bitterfeld,EMEA,EMEA,EMEA,Germany
Botany,ANZ,SEAO,APAC,Australia
Brazil,,,,
Changshu,GREATERCHINA,NEA,APAC,China
China,,,,China
CHINA TSD AND OFFICES,GREATERCHINA,NEA,APAC,China
CN Shanghai branch (Suzhou),GREATERCHINA,NEA,APAC,China
CSC BU & ADMIN,Corp / Not affiliated,Corp / Not affiliated,Corp / Not affiliated,
CSC FIELD R&D,Corp / Not affiliated,Corp / Not affiliated,Corp / Not affiliated,
DE ALLNEX GMBH (Frankfurt),EMEA,EMEA,EMEA,Germany
Drogenbos,EMEA,EMEA,EMEA,Belgium
Drogenbos R&D,EMEA,EMEA,EMEA,Belgium
Dushan,GREATERCHINA,NEA,APAC,China
East Saint Louis,AMERICAS,NorthAmerica,AMERICAS,USA
East Saint Louis,AMERICAS,NorthAmerica,AMERICAS,USA
EMEA,,,,
Fengxian,GREATERCHINA,NEA,APAC,China
Fengxian/Shanghai,GREATERCHINA,NEA,APAC,China
Foshan,GREATERCHINA,NEA,APAC,China
FRANKFURT,EMEA,EMEA,EMEA,Germany
FRANKFURT HQ,EMEA,EMEA,EMEA,Germany
Germany,,,,
Global,EMEA,Nonspecific,EMEA,
GRAZ,EMEA,EMEA,EMEA,Austria
Greater China,,,,
Hamburg,EMEA,EMEA,EMEA,Germany
HUB,GREATERCHINA,NEA,APAC,China
India,,,,
India Lab,ROA,INSC,APAC,India
Indonesia,,,,
Italy,,,,
JAKARTA,ROA,SEAO,APAC,Indonesia
Japan,,,,
Jiaxing,GREATERCHINA,NEA,APAC,China
Kalamazoo,AMERICAS,NorthAmerica,AMERICAS,USA
KR SEOUL,ROA,NEA,APAC,South Korea
Langley,AMERICAS,NorthAmerica,AMERICAS,USA
Latvia,,,,
Lillestrom,EMEA,EMEA,EMEA,Norway
LONG THAN MASTERBATCH,ROA,SEAO,APAC,
Louisville,AMERICAS,NorthAmerica,AMERICAS,USA
Mahad,ROA,INSC,APAC,India
Malaysia,,,,
Melaka,ROA,SEAO,APAC,Malaysia
Mumbai,ROA,INSC,APAC,India
MX GUADALAJARA,AMERICAS,LatinAmerica,AMERICAS,Other
MY KUALA LUMPUR,ROA,SEAO,APAC,Malaysia
Netherlands,,,,
New Zealand,,,,
North Augusta,AMERICAS,NorthAmerica,AMERICAS,USA
Norway,,,,
Other,Corp / Not affiliated,Corp / Not affiliated,Corp / Not affiliated,
Other - AMERICAS,AMERICAS,Nonspecific,AMERICAS,USA
Other - ANZ,ANZ,SEAO,APAC,Other
Other - EMEA,EMEA,Nonspecific,EMEA,
Other - GREATERCHINA,GREATERCHINA,NEA,APAC,China
Other - RESTofASIA,ROA,Nonspecific,APAC,Other
OTHER AUSTRALIA,ANZ,SEAO,APAC,Other
OTHER NEW ZEALAND,ANZ,SEAO,APAC,Other
Other Office Locations,Corp / Not affiliated,Corp / Not affiliated,Corp / Not affiliated,
Other-Tollers,Corp / Not affiliated,Corp / Not affiliated,Corp / Not affiliated,
Penrose,ANZ,SEAO,APAC,New Zealand
Petaling Jaya,ROA,SEAO,APAC,Malaysia
Ponta Grossa,AMERICAS,LatinAmerica,AMERICAS,Brazil
Rayong,ROA,SEAO,APAC,Thailand
Riga,EMEA,EMEA,EMEA,Latvia
Romano,EMEA,EMEA,EMEA,Italy
Russia,,,,
Russia Offices,EMEA,INSC,APAC,Russia
Samutprakarn - Thailand,ROA,SEAO,APAC,Thailand
Schoonaarde,EMEA,EMEA,EMEA,Belgium
Seremban,ROA,SEAO,APAC,Malaysia
Shangai Lab,GREATERCHINA,NEA,APAC,China
Shanghai,GREATERCHINA,NEA,APAC,China
SHANGHAI CSC,GREATERCHINA,NEA,APAC,China
Shebekino,EMEA,INSC,APAC,Russia
Shimonoseki,ROA,NEA,APAC,Japan
Silvertown,EMEA,EMEA,EMEA,England
SINGAPORE AND KUALA LUMPUR OFFICE,ROA,SEAO,APAC,Malaysia
Springvale,ANZ,SEAO,APAC,Australia
Surabaya,ROA,SEAO,APAC,Indonesia
Suzano,AMERICAS,LatinAmerica,AMERICAS,Brazil
Suzhou,GREATERCHINA,NEA,APAC,China
TBD,Corp / Not affiliated,Corp / Not affiliated,Corp / Not affiliated,
Thailand,,,,
Tokyo Office,ROA,NEA,APAC,Japan
TW TAIPEI,GREATERCHINA,NEA,APAC,China
United Kingdom,,,,
United States,,,,
Vietnam,,,,
